17 Minutes,14:15,Gilded Balloon Teviot,1:15,22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/17-minutes
Adam Bromley: Time Traveller,18:30,Laughing Horse @ Bar Soba,1:00,21 22 23 24 25 26 27,1k,https://tickets.edfringe.com/whats-on/adam-bromley-time-traveller
ADULTS,"10:00 13:00 16:00 19:00 22:00",Traverse Theatre,1:20,"17",1,https://tickets.edfringe.com/whats-on/adults
Alan Turing   A Musical Biography,10:50,Paradise in Augustines,1:05,,2,https://tickets.edfringe.com/whats-on/alan-turing-a-musical-biography
Aloft Presents Sanctuary,17:15,Underbelly s Circus Hub on the Meadows,1:00,22 23 24 25 26,2,https://tickets.edfringe.com/whats-on/aloft-presents-sanctuary
Alone,15:20,Assembly George Square Studios,1:30,22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/alone
...And This Is My Friend Mr Laurel,11:20,Pleasance Courtyard,0:55,21 22 23 24 25 26 27 28,2k,https://tickets.edfringe.com/whats-on/and-this-is-my-friend-mr-laurel
Avenue Q,16:10,Hill Street Theatre,2:15,21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/avenue-q
Ballad of Truman Capote,18:05,theSpace @ Niddry St,0:50,21 22 23 24 25 26,1,https://tickets.edfringe.com/whats-on/ballad-of-truman-capote
Beatles Were a Boyband,19:30,Gilded Balloon Patter Hoose,1:00,21 22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/beatles-were-a-boyband
Big Bite-Size Breakfast Show,10:20,Pleasance Courtyard,1:10,21 22 23 24 26 27 28,1,https://tickets.edfringe.com/whats-on/big-bite-size-breakfast-show
Black Is The Color Of My Voice,15:00,Pleasance at EICC,1:10,,1,https://tickets.edfringe.com/whats-on/black-is-the-color-of-my-voice
Blood of the Lamb,14:10,Assembly Rooms,1:00,22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/blood-of-the-lamb
Bowjangles: Dracula in Space,16:30,Gilded Balloon Patter Hoose,1:00,21 22 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/bowjangles-dracula-in-space
Brief Candle,21:20,theSpace @ Surgeons Hall,0:45,21 22 23 24 25 26,1k,https://tickets.edfringe.com/whats-on/brief-candle
"Brief Life & Mysterious Death of Boris III King of Bulgaria",17:20,Pleasance Dome,1:10,21 22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/brief-life-mysterious-death-of-boris-iii-king-of-bulgaria
Bubble Show for Adults Only 2,20:40,theSpaceTriplex,1:00,21 22 23 24 25 26,2,https://tickets.edfringe.com/whats-on/bubble-show-for-adults-only-2
Buffy Revamped,20:15,Pleasance at EICC,1:15,22 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/buffy-revamped
Bullring Techno Makeout Jamz,20:20,ROUNDABOUT @ Summerhall,1:00,21 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/bullring-techno-makeout-jamz
Constellations,13:55,theSpace on the Mile,1:20,22 24 26,1,https://tickets.edfringe.com/whats-on/constellations
Devil's Passion,13:20,Assembly George Square Studios,1:30,22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/devil-s-passion
Dom   The Play,17:20,Assembly Rooms,1:15,22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/dom-the-play
Enquiry Concerning Hereafter,"12:00 16:00",Panmure House,1:15,"18",-,https://tickets.edfringe.com/whats-on/enquiry-concerning-hereafter
Fanti Acrobats International,12:00,theSpaceTriplex,1:00,21 22 23 24 25 26,1,https://tickets.edfringe.com/whats-on/fanti-acrobats-international
Funeral for My Friend Who Is Still Alive,10:00,theSpace @ Niddry St,0:45,,-,https://tickets.edfringe.com/whats-on/funeral-for-my-friend-who-is-still-alive
Grand Old Opera House Hotel,"10:00 13:00 16:00 19:00 22:00",Traverse Theatre,1:30,22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/grand-old-opera-house-hotel
Her Green Hell,13:15,Summerhall,1:00,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/her-green-hell
Highly Suspect Murder Mystery   Murder on the Disorient Express,17:05,theSpace @ Surgeons Hall,1:10,21 22 23 24 25 26,-,https://tickets.edfringe.com/whats-on/highly-suspect-murder-mystery-murder-on-the-disorient-express
Horizon Showcase: Things Hidden Since the Foundation of the World,"10:00 13:00 16:00 19:00 22:00",Traverse Theatre,1:30,22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/horizon-showcase-things-hidden-since-the-foundation-of-the-world
How to Bury a Dead Mule,11:50,Pleasance Dome,1:00,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/how-to-bury-a-dead-mule
Importance of Being... Earnest?,16:40,Pleasance Courtyard,1:10,21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/importance-of-being-earnest-1
Improv Musical,15:30,Gilded Balloon Patter Hoose,1:00,21 22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/improv-musical
In Loyal Company,13:30,Pleasance Courtyard,1:10,21 22 23 24 25 26 27 28,2,https://tickets.edfringe.com/whats-on/in-loyal-company
Insider,16:30,ZOO Southside,1:05,22 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/insider
