Show Name,Genre,Venue Name,Space Name,Wheelchair Accessible Space,Enhanced Performances Available,Show Start Time,Performance Duration,Opted into Fringe Friends,Performer/Performance Company,URL to Event Details
"1954: Ella, Etta, Eartha",Cabaret and Variety,Assembly @ St Andrew Square,Bijou,Yes,,14:30,60 mins,No,Melissa Western,https://www.edfringe.com/tickets/whats-on/1954-ella-etta-eartha
"1 King, 2 Princes and Shakespeare's Lie",Theatre,theSpace @ Symposium Hall,Annexe,Yes,,18:15,50 mins,Yes,Slade Wolfe Enterprises Limited,https://www.edfringe.com/tickets/whats-on/1-king-2-princes-and-shakespeare-s-lie
1 Dazzling Cabaret,Cabaret and Variety,Laughing Horse @ The Three Sisters,The Live Room,Yes,,20:00,60 mins,No,Cabaret in the City,https://www.edfringe.com/tickets/whats-on/1-dazzling-cabaret
1-800-Harmony-Hotline,Music,theSpaceTriplex,Big,Yes,,12:40,45 mins,Yes,The Bristol Suspensions,https://www.edfringe.com/tickets/whats-on/1-800-harmony-hotline
1 Astonishment 2 Many: Chris Dugdale,Cabaret and Variety,Assembly Rooms,Drawing Room,Yes,,Various times,60 mins,No,Chris Dugdale Int Ents,https://www.edfringe.com/tickets/whats-on/1-astonishment-2-many-chris-dugdale
00:45:00,Theatre,Various venues,Various spaces,No,,Various times,50 mins,Yes,Wilison Labs,https://www.edfringe.com/tickets/whats-on/00-45-00
Water Colour,Theatre,Traverse Theatre,Traverse 2,Yes,,Various times,75 mins,No,Byre Theatre in association with Pitlochry Festival Theatre and Traverse,https://www.edfringe.com/tickets/whats-on/water-colour
Supposing:,Theatre,Traverse Theatre,Traverse 2,Yes,"Audio Description, Signed",Various times,80 mins,No,Traverse Theatre Company,https://www.edfringe.com/tickets/whats-on/supposing
Mrs Stern Wanders the Prussian State Library,Theatre,Traverse Theatre,Traverse 2,Yes,,Various times,80 mins,No,"Luna Stage, Richard Jordan Productions in association with Traverse Theatre",https://www.edfringe.com/tickets/whats-on/mrs-stern-wanders-the-prussian-state-library
Meat Loaf – Just the Best Bits,Cabaret and Variety,PBH's Free Fringe @ Fingers Piano Bar,Fingers Piano Bar,No,,21:00,60 mins,No,Antony (Dr H) Hubmayer / PBH's Free Fringe,https://www.edfringe.com/tickets/whats-on/meat-loaf-just-the-best-bits
Cathy,Theatre,Traverse Theatre,Traverse 1,Yes,"Captioning, Audio Description, Signed",Various times,70 mins,No,Traverse Theatre Company,https://www.edfringe.com/tickets/whats-on/cathy
Badgers,Theatre,Traverse Theatre,Traverse 2,Yes,"Audio Description, Signed",Various times,70 mins,No,Theatre Royal Plymouth in association with Bristol Old Vic,https://www.edfringe.com/tickets/whats-on/badgers
After Party,Theatre,Traverse Theatre,Traverse 1,Yes,"Captioning, Audio Description, Signed",Various times,125 mins,No,Traverse Theatre in co-production with Paines Plough and Belgrade Theatre,https://www.edfringe.com/tickets/whats-on/after-party
