9 Circles,13:30,Assembly George Square Studios,1:05,19 20 21 22 23 24 25 26 27 28 29,1,https://tickets.edfringe.com/whats-on/9-circles
Age Is a Feeling,12:10,Summerhall,1:10,19 20 21 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/age-is-a-feeling
"Ali Brice: I Tried To Be Funny But You Weren't Looking",16:50,PBH's Free Fringe @ Banshee Labyrinth,1:00,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/ali-brice-i-tried-to-be-funny-but-you-weren-t-looking
Alice Brine: Brinestorm,16:20,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/alice-brine-brinestorm
Alice Fraser: Chronos,21:15,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28 29,-,https://tickets.edfringe.com/whats-on/alice-fraser-chronos
Angel by Henry Naylor,16:00,Gilded Balloon Patter Hoose,1:00,19 20 21 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/angel-by-henry-naylor
Bad Clowns: Invasion,13:30,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28 29,0,https://tickets.edfringe.com/whats-on/bad-clowns-invasion
Black is the Color of My Voice,15:00,Pleasance at EICC,1:10,19 20,1,https://tickets.edfringe.com/whats-on/black-is-the-color-of-my-voice
BOGEYMAN,15:55,Pleasance Dome,1:10,19 20 21 23 24 25 26 27 28 29,-,https://tickets.edfringe.com/whats-on/bogeyman
Boris the Third,16:10,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28 29,0,https://tickets.edfringe.com/whats-on/boris-the-third
Bubble Show for Adults Only,20:45,theSpaceTriplex,1:00,19 20 21 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/bubble-show-for-adults-only
Cabaret of Dangerous Ideas: Brighter Brains and Languages,13:30,The Stand s New Town Theatre,1:00,,-,https://tickets.edfringe.com/whats-on/cabaret-of-dangerous-ideas-brighter-brains-and-languages
Camille O'Sullivan: Dreaming,19:20,"Underbelly Bristo Square",1:15,19 20 21 23 24 25 26 27 28,2,https://tickets.edfringe.com/whats-on/camille-o-sullivan-dreaming
Card Ninja,16:15,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/card-ninja
Chris Gethard: A Father and the Sun,18:00,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/chris-gethard-a-father-and-the-sun
Crizards: Cowboys,22:15,Assembly George Square Studios,1:00,19 20 21 22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/crizards-cowboys
Eli Matthewson: Daddy Short-Legs,20:50,"Underbelly George Square",1:00,19 20 21 22 23 24 25 26 27 28,0,https://tickets.edfringe.com/whats-on/eli-matthewson-daddy-short-legs
Every Word Was Once an Animal,14:15,ZOO Southside,1:00,19 20 21 23 24 25 26 27 28,0,https://tickets.edfringe.com/whats-on/every-word-was-once-an-animal
Fascinating Aïda,18:00,Assembly George Square,1:00,19 20 21 22 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/fascinating-aida
Feeling Afraid as If Something Terrible Is Going to Happen,"19:00 23:30",ROUNDABOUT @ Summerhall,1:00,19 20 21 22 24 25 26 27 28 20 24,-,https://tickets.edfringe.com/whats-on/feeling-afraid-as-if-something-terrible-is-going-to-happen
